duration	nudity	violence	profanity	alcohol	frightening	budget	worldwide_gross	is_Action	is_Adult	is_Adventure	is_Animation	is_Biography	is_Comedy	is_Crime	is_Drama	is_Family	is_Fantasy	is_Film-Noir	is_Horror	is_History	is_Music	is_Mystery	is_Romance	is_Sci-Fi	is_Sport	is_Thriller	is_War	is_Western	total_star_score
138	None	Moderate	Mild	None	Moderate	245000000	2069521700	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	809
181	None	Moderate	Mild	Mild	Moderate	356000000	2797501328	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	69
148	None	Moderate	Mild	None	Moderate	200000000	1901232550	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	411
162	Mild	Moderate	Moderate	Mild	Moderate	237000000	2847397339	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	513
134	None	Moderate	Mild	None	Moderate	200000000	1347597973	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1434
149	None	Moderate	Mild	None	Moderate	321000000	2048359754	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	69
194	Moderate	Moderate	Moderate	Mild	Severe	200000000	2201647264	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1338
124	None	Moderate	Mild	Mild	Moderate	150000000	1671537444	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	606
143	None	Moderate	Mild	Mild	Mild	220000000	1518815515	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	49
152	None	Moderate	Mild	Mild	Moderate	317000000	1332698830	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	852
118	None	Mild	Mild	Mild	Mild	200000000	1243089244	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3083
118	None	Mild	None	None	Moderate	260000000	1663250487	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1756
152	None	Moderate	Mild	Mild	Severe	185000000	1006102277	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2009
133	None	Moderate	None	None	Moderate	200000000	1056057720	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2894
141	None	Moderate	Mild	None	Moderate	275000000	1074149279	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1000
129	None	Mild	None	Mild	Mild	160000000	1273576220	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1300
97	None	None	None	None	Mild	200000000	1028570942	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3263
103	None	Mild	None	None	Mild	150000000	1450026933	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1596
136	None	Mild	None	None	Mild	115000000	1027082707	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1191
141	Mild	Moderate	Mild	Mild	Moderate	250000000	1402809540	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	69
164	Mild	Moderate	Mild	Mild	Moderate	250000000	1081153097	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	561
93	Mild	Mild	Mild	Mild	Mild	150000000	928760770	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762
115	None	Mild	Mild	Mild	Moderate	10500000	792910554	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3566
100	None	Mild	None	None	Mild	200000000	1073394593	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1984
123	None	Mild	Mild	Mild	Mild	160000000	1128462972	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	843
146	Mild	Moderate	Mild	Mild	Moderate	130000000	865011746	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1318
151	Mild	Moderate	Mild	Mild	Moderate	225000000	1066179747	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	878
128	None	Moderate	Mild	Mild	Moderate	170000000	1310466296	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1519
103	None	Mild	None	None	Moderate	200000000	1066970811	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1531
141	Mild	Moderate	Mild	Mild	Mild	149000000	822854286	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2117
130	Mild	Moderate	Mild	Mild	Moderate	200000000	1214811252	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	637
147	None	Moderate	Mild	Mild	Moderate	250000000	1153337496	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	120
142	None	Moderate	Mild	Mild	Moderate	78000000	694394724	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1072
119	Mild	Mild	Mild	Mild	Mild	90000000	962542945	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427
