rank_director;director;box_office_director;movies_director;average_director
1;Steven Spielberg;10,623,616,460;37;287,124,769
2;Anthony Russo;6,843,331,520;8;855,416,440
3;Joe Russo;6,843,331,520;9;760,370,169
4;Peter Jackson;6,536,773,156;15;435,784,877
5;Michael Bay;6,495,373,791;16;405,960,862
6;David Yates;6,355,276,053;10;635,527,605
7;James Cameron;6,291,633,501;14;449,402,393
8;Christopher Nolan;4,957,858,923;13;381,373,763
9;J.J. Abrams;4,649,045,992;6;774,840,999
10;Tim Burton;4,413,606,915;19;232,295,101
11;Ridley Scott;4,366,338,744;31;140,849,637
12;Robert Zemeckis;4,356,937,585;22;198,042,618
13;Jon Favreau;4,320,139,427;9;480,015,492
14;Ron Howard;4,300,982,777;33;130,332,811
15;Sam Raimi;4,262,980,813;15;284,198,721
16;Chris Columbus;4,079,261,641;17;239,956,567
17;Roland Emmerich;4,015,745,606;15;267,716,374
18;Jon Watts;3,899,710,907;5;779,942,181
19;James Wan;3,723,439,190;12;310,286,599
20;Bryan Singer;3,716,553,162;10;371,655,316
21;Pierre Coffin;3,709,029,583;4;927,257,396
22;Gore Verbinski;3,682,489,019;11;334,771,729
23;George Lucas;3,448,142,176;6;574,690,363
24;Brad Bird;3,433,470,811;6;572,245,135
25;Francis Lawrence;3,350,317,781;10;335,031,778
26;Clint Eastwood;3,332,189,924;39;85,440,767
27;Chris Renaud;3,201,238,596;5;640,247,719
28;Todd Phillips;3,179,217,391;11;289,019,763
29;Zack Snyder;3,170,405,984;12;264,200,499
30;M. Night Shyamalan;3,108,447,848;13;239,111,373
31;Sam Mendes;3,088,436,155;10;308,843,616
32;Carlos Saldanha;3,069,459,365;7;438,494,195
33;Bill Condon;3,051,432,832;12;254,286,069
34;Justin Lin;3,014,447,202;10;301,444,720
35;Joss Whedon;2,955,065,480;4;738,766,370
36;Kyle Balda;2,913,344,540;3;971,114,847
37;Tom McGrath;2,899,631,049;7;414,233,007
38;Andrew Stanton;2,776,387,102;4;694,096,776
39;Shawn Levy;2,713,213,583;14;193,800,970
40;Jennifer Lee;2,708,488,103;2;1,354,244,052
41;Chris Buck;2,708,488,103;2;1,354,244,052
42;Guy Ritchie;2,694,977,759;17;158,528,103
43;Colin Trevorrow;2,628,904,189;5;525,780,838
44;Andrew Adamson;2,600,025,168;6;433,337,528
45;Conrad Vernon;2,525,483,543;7;360,783,363
46;John Lasseter;2,466,673,153;6;411,112,192
47;Eric Darnell;2,422,562,005;5;484,512,401
48;Barry Sonnenfeld;2,422,304,041;12;201,858,670
49;Tsui Hark;2,315,878,652;11;210,534,423
50;Steven Soderbergh;2,292,578,496;35;65,502,243
51;Jon Turteltaub;2,268,844,314;11;206,258,574
52;Pete Docter;2,263,485,630;4;565,871,408
53;F. Gary Gray;2,251,163,261;13;173,166,405
54;Matt Reeves;2,173,401,429;6;362,233,572
55;Kaige Chen;2,171,402,785;9;241,266,976
56;Jake Kasdan;2,165,644,915;8;270,705,614
57;Brett Ratner;2,153,851,289;12;179,487,607
58;Martin Scorsese;2,153,735,045;30;71,791,168
59;Byron Howard;2,148,392,792;4;537,098,198
60;Rob Marshall;2,132,431,027;7;304,633,004
61;Tony Scott;2,109,630,379;16;131,851,899
62;David Fincher;2,108,393,607;11;191,672,146
63;Martin Campbell;2,051,150,234;14;146,510,731
64;Andy Wachowski;2,044,912,839;7;292,130,406
65;James Mangold;2,038,633,162;12;169,886,097
66;Joseph Kosinski;2,036,106,394;5;407,221,279
67;Rich Moore;2,030,432,286;3;676,810,762
68;Rob Minkoff;2,024,874,383;9;224,986,043
69;Quentin Tarantino;1,971,792,367;11;179,253,852
70;Richard Donner;1,959,634,200;18;108,868,567
71;Raja Gosnell;1,895,767,721;11;172,342,520
72;Chen Sicheng;1,895,729,416;6;315,954,903
73;Lee Unkrich;1,866,545,947;2;933,272,974
74;James Gunn;1,851,804,751;7;264,543,536
75;Kenneth Branagh;1,850,476,309;19;97,393,490
76;Wolfgang Petersen;1,825,552,544;11;165,959,322
77;Dante Lam;1,825,187,106;8;228,148,388
78;Rian Johnson;1,819,297,720;6;303,216,287
79;Ivan Reitman;1,818,221,409;15;121,214,761
80;Dennis Dugan;1,799,970,594;15;119,998,040
81;Jay Roach;1,798,699,200;13;138,361,477
82;Garry Marshall;1,765,337,519;18;98,074,307
83;Mike Newell;1,763,991,763;17;103,764,221
84;Ron Clements;1,746,271,425;6;291,045,238
85;Mike Mitchell;1,736,145,017;8;217,018,127
86;Joe Johnston;1,734,395,893;11;157,672,354
87;John Musker;1,722,665,891;5;344,533,178
88;Peyton Reed;1,699,631,891;7;242,804,556
89;Christopher McQuarrie;1,693,406,457;5;338,681,291
90;Ang Lee;1,692,941,738;14;120,924,410
91;Rob Letterman;1,668,993,565;7;238,427,652
92;Joel Schumacher;1,666,290,707;23;72,447,422
93;Paul W.S. Anderson;1,655,711,177;13;127,362,398
94;Alfonso Cuarón;1,653,059,361;9;183,673,262
95;Taika Waititi;1,646,002,468;11;149,636,588
96;David Leitch;1,645,089,499;5;329,017,900
97;Dean DeBlois;1,630,671,606;5;326,134,321
98;Ruben Fleischer;1,626,491,339;6;271,081,890
99;Marc Forster;1,616,341,060;13;124,333,928
100;Juan Antonio Bayona;1,603,589,334;4;400,897,334
101;Gareth Edwards;1,589,851,397;4;397,462,849
102;Robert Rodriguez;1,584,836,789;24;66,034,866
103;Paul Greengrass;1,580,532,627;10;158,053,263
104;Peter Berg;1,579,933,649;12;131,661,137
105;Tom Shadyac;1,579,209,212;8;197,401,152
106;Marc Webb;1,540,422,720;7;220,060,389
107;Matthew Vaughn;1,536,198,335;8;192,024,792
108;Stephen Sommers;1,535,016,119;8;191,877,015
109;Ryan Coogler;1,527,611,547;4;381,902,887
110;Peter Farrelly;1,526,126,918;16;95,382,932
111;Doug Liman;1,514,433,829;13;116,494,910
112;Chris Weitz;1,512,129,357;8;189,016,170
113;Lana Wachowski;1,462,803,727;7;208,971,961
114;Kelly Asbury;1,461,448,997;5;292,289,799
115;Shane Black;1,451,306,046;5;290,261,209
116;Jon M. Chu;1,433,951,121;10;143,395,112
117;Steve Martino;1,429,334,633;4;357,333,658
118;Bobby Farrelly;1,421,368,620;13;109,336,048
119;Chris Sanders;1,421,100,353;4;355,275,088
120;Hao Ning;1,416,554,571;5;283,310,914
121;Rob Cohen;1,412,045,943;14;100,860,425
122;Tim Story;1,407,246,923;15;93,816,462
123;Edward Zwick;1,392,979,729;14;99,498,552
124;Scott Derrickson;1,377,664,258;7;196,809,180
125;Genndy Tartakovsky;1,375,903,297;3;458,634,432
126;Antoine Fuqua;1,375,721,769;21;65,510,560
127;Barry Levinson;1,363,574,206;27;50,502,748
128;Chris Miller;1,362,318,413;3;454,106,138
129;Nancy Meyers;1,351,418,684;6;225,236,447
130;Kirk Wise;1,334,091,019;5;266,818,204
131;John Woo;1,328,084,552;14;94,863,182
132;Brad Peyton;1,324,749,337;8;165,593,667
133;Woody Allen;1,318,327,758;49;26,904,648
134;Louis Leterrier;1,312,223,428;10;131,222,343
135;Oliver Stone;1,309,326,112;21;62,348,862
136;Sylvester Stallone;1,297,392,354;8;162,174,044
137;Joachim Ronnin;1,284,208,289;2;642,104,145
138;Sydney Pollack;1,272,536,122;17;74,855,066
139;Luc Besson;1,271,062,726;15;84,737,515
140;Jan De Bont;1,266,649,848;6;211,108,308
141;Hu Guan;1,265,424,069;5;253,084,814
142;Guillermo del Toro;1,247,757,718;15;83,183,848
143;John McTiernan;1,243,282,732;11;113,025,703
144;George Miller;1,240,898,146;13;95,453,704
145;Phil Lord;1,239,058,700;6;206,509,783
146;Christopher Miller;1,239,058,700;5;247,811,740
147;Phillip Noyce;1,238,766,966;15;82,584,464
148;Jennifer Yuh Nelson;1,224,369,800;3;408,123,267
149;Paul Feig;1,224,283,925;10;122,428,393
150;Peter Segal;1,222,685,923;11;111,153,266
151;Renny Harlin;1,204,112,407;23;52,352,713
152;Gary Ross;1,197,400,146;5;239,480,029
153;Adam Shankman;1,193,722,633;10;119,372,263
154;Roger Allers;1,179,227,388;3;393,075,796
155;Michael Apted;1,169,928,194;25;46,797,128
156;Zhang Yimou;1,167,809,940;19;61,463,681
157;Joel Coen;1,161,664,659;19;61,140,245
158;Simon West;1,149,901,855;12;95,825,155
159;Mel Gibson;1,146,175,415;7;163,739,345
160;Baz Luhrmann;1,145,880,484;7;163,697,212
161;Ryan Fleck;1,142,864,626;5;228,572,925
162;Anna Boden;1,137,952,901;4;284,488,225
163;Hayao Miyazaki;1,129,556,605;11;102,686,964
164;Muye Wen;1,128,740,519;4;282,185,130
165;David Ayer;1,105,016,796;10;110,501,680
166;David Silverman;1,100,184,449;3;366,728,150
167;Robert Schwentke;1,094,432,871;8;136,804,109
168;Joseph McGinty Nichol;1,092,275,899;11;99,297,809
169;Alan Taylor;1,090,174,860;4;272,543,715
170;Denis Villeneuve;1,078,255,563;8;134,781,945
171;Josh Cooley;1,073,080,329;2;536,540,165
172;Paul Verhoeven;1,065,490,904;13;81,960,839
173;Wu Jing;1,054,362,343;2;527,181,172
174;Jonathan Liebesman;1,054,256,576;4;263,564,144
175;Lasse Hallström;1,051,158,504;18;58,397,695
176;Patty Jenkins;1,048,618,774;4;262,154,694
177;Mike Nichols;1,047,422,380;18;58,190,132
178;Michael Mann;1,041,944,611;13;80,149,585
179;Brian De Palma;1,036,841,511;24;43,201,730
180;Garth Jennings;1,034,002,005;2;517,001,003
181;Tim Miller;1,032,320,058;2;516,160,029
182;Jaume Collet-Serra;1,026,559,432;10;102,655,943
183;Tyler Perry;1,024,494,330;25;40,979,773
184;Stephen Chow;1,017,854,320;6;169,642,387
185;Betty Thomas;1,016,552,451;7;145,221,779
186;Tom Hooper;1,015,682,843;5;203,136,569
187;Frank Coraci;995,262,143;9;110,584,683
188;Chris Williams;976,430,053;3;325,476,684
189;Francis Ford Coppola;967,504,689;23;42,065,421
190;Tim Johnson;962,620,890;5;192,524,178
191;John Landis;961,746,356;18;53,430,353
192;Danny Boyle;958,578,388;15;63,905,226
193;Rawson Marshall Thurber;957,925,667;6;159,654,278
194;Rob Reiner;955,437,739;20;47,771,887
195;Andy Tennant;951,627,365;10;95,162,737
196;Gary Trousdale;950,205,863;3;316,735,288
197;Adrian Lyne;948,596,188;10;94,859,619
198;Andrew Davis;935,717,764;11;85,065,251
199;Adam McKay;928,456,517;9;103,161,835
200;Wes Ball;924,764,559;4;231,191,140
201;Xu Zheng;912,023,948;5;182,404,790
202;James Foley;908,908,212;13;69,916,016
203;Jerry Zucker;907,747,053;6;151,291,176
204;D.J. Caruso;899,031,055;15;59,935,404
205;Paul Weitz;898,537,670;12;74,878,139
206;Wes Craven;897,483,822;20;44,874,191
207;John Glen;893,563,646;7;127,651,949
208;Brian Levant;891,685,930;10;89,168,593
209;Kevin Lima;890,853,958;6;148,475,660
210;Mark Waters;888,778,214;13;68,367,555
211;Will Gluck;880,616,831;7;125,802,404
212;Michael Thurmeier;879,765,137;1;879,765,137
213;Nora Ephron;877,804,290;7;125,400,613
214;Peter Weir;875,761,670;12;72,980,139
