url_id;title;certificate;year;duration;rating;votes;metascore;total_nominations;total_wins;oscar_nominations;oscar_wins;budget;gross_us_canada;opening_weekend_gross_us_canada;worldwide_gross;aspect_ratio;color
tt2488496;Star Wars: Episode VII - The Force Awakens;PG-13;2015;8280;7.8;918286;80;138;62;5;0;245000000;936662225;247966675;2069521700;2.39 : 1;Color
tt4154796;Avengers: Endgame;PG-13;2019;10860;8.4;1082847;78;132;70;1;0;356000000;858373000;357115007;2797501328;;
tt10872600;Spider-Man: No Way Home;PG-13;2021;8880;8.3;694144;71;56;32;1;0;200000000;804793477;260138569;1901232550;;Color
tt0499549;Avatar;PG-13;2009;9720;7.8;1213944;83;131;89;6;3;237000000;760507625;77025481;2847397339;;Color
tt1825683;Black Panther;PG-13;2018;8040;7.3;736083;88;281;116;4;3;200000000;700426566;202003951;1347597973;2.39 : 1;
tt4154756;Avengers: Infinity War;PG-13;2018;8940;8.4;1040415;68;79;46;1;0;321000000;678815482;257698183;2048359754;;
tt0120338;Titanic;PG-13;1997;11640;7.9;1148717;75;83;125;3;11;200000000;659363944;28638131;2201647264;2.39 : 1;Color
tt0369610;Jurassic World;PG-13;2015;7440;6.9;635324;59;58;15;;;150000000;653406625;208806270;1671537444;2.00 : 1;Color
tt0848228;The Avengers;PG-13;2012;8580;8;1368880;69;80;38;1;0;220000000;623357910;207438708;1518815515;1.85 : 1;Color
tt2527336;Star Wars: Episode VIII - The Last Jedi;PG-13;2017;9120;6.9;620553;84;99;25;4;0;317000000;620181382;220009584;1332698830;2.39 : 1;Color
tt3606756;Incredibles 2;PG;2018;7080;7.6;290641;80;80;12;1;0;200000000;608581744;182687905;1243089244;2.39 : 1;Color
tt6105098;The Lion King;PG;2019;7080;6.8;240836;55;44;21;1;0;260000000;543638043;191770759;1663250487;;Color
tt6105098;The Lion King;PG;2019;7080;6.8;240836;55;44;21;1;0;260000000;543638043;191770759;1663250487;;Color
tt0468569;The Dark Knight;PG-13;2008;9120;9;2590968;84;163;159;6;2;185000000;534987076;158411483;1006102277;2.39 : 1;
tt0468569;The Dark Knight;PG-13;2008;9120;9;2590968;84;163;159;6;2;185000000;534987076;158411483;1006102277;2.39 : 1;
tt3748528;Rogue One: A Star Wars Story;PG-13;2016;7980;7.8;617074;65;85;24;2;0;200000000;532177324;155081681;1056057720;2.39 : 1;Color
tt2527338;Star Wars: Episode IX - The Rise of Skywalker;PG-13;2019;8460;6.5;439452;53;55;20;3;0;275000000;515202542;177383864;1074149279;2.39 : 1;Color
tt2771200;Beauty and the Beast;PG;2017;7740;7.1;304469;65;76;15;2;0;160000000;504481165;174750616;1273576220;2.39 : 1;Color
tt2277860;Finding Dory;PG;2016;5820;7.3;271595;77;46;17;1;0;200000000;486295561;135060273;1028570942;1.85 : 1;Color
tt4520988;Frozen II;PG;2019;6180;6.8;168054;64;90;17;1;0;150000000;477373578;130263358;1450026933;2.39 : 1;Color
tt0120915;Star Wars: Episode I - The Phantom Menace;PG;1999;8160;6.5;793810;51;69;26;3;0;115000000;474544677;64820970;1027082707;2.39 : 1;Color
tt2395427;Avengers: Age of Ultron;PG-13;2015;8460;7.3;845473;66;51;8;;;250000000;459005868;191271109;1402809540;2.39 : 1;Color
tt1345836;The Dark Knight Rises;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;1.78 : 1;Color
tt1345836;The Dark Knight Rises;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;2.39 : 1;Color
tt1345836;The Dark Knight Rises;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;2.39 : 1;Color
tt1345836;The Dark Knight Rises;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;1.78 : 1;Color
tt1345836;The Dark Knight Rises;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;2.39 : 1;Color
tt1345836;The Dark Knight Rises;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;2.39 : 1;Color
tt0298148;Shrek 2;PG;2004;5580;7.3;456580;75;52;18;2;0;150000000;441226247;108037878;928760770;1.85 : 1;
tt0083866;E.T. the Extra-Terrestrial;PG;1982;6900;7.9;402853;91;36;52;5;4;10500000;435110554;11835389;792910554;1.85 : 1;Color
tt1979376;Toy Story 4;G;2019;6000;7.7;244142;84;67;57;1;1;200000000;434038008;120908065;1073394593;2.39 : 1;Color
tt4154664;Captain Marvel;PG-13;2019;7380;6.8;544855;64;56;9;;;160000000;426829839;153433423;1128462972;2.39 : 1;
tt4154664;Captain Marvel;PG-13;2019;7380;6.8;544855;64;56;9;;;160000000;426829839;153433423;1128462972;2.39 : 1;
tt1951264;The Hunger Games: Catching Fire;PG-13;2013;8760;7.5;656545;76;68;22;;;130000000;424668047;158074286;865011746;2.39 : 1;Color
tt0383574;Pirates of the Caribbean: Dead Man's Chest;PG-13;2006;9060;7.3;708932;53;54;45;3;1;225000000;423315812;135634554;1066179747;2.39 : 1;Color
tt0110357;The Lion King;G;1994;5280;8.5;1037167;88;35;40;2;2;45000000;422783777;1586753;1063611805;1.85 : 1;Color
tt4881806;Jurassic World: Fallen Kingdom;PG-13;2018;7680;6.1;311046;51;26;4;;;170000000;417719760;148024610;1310466296;2.39 : 1;Color
tt4881806;Jurassic World: Fallen Kingdom;PG-13;2018;7680;6.1;311046;51;26;4;;;170000000;417719760;148024610;1310466296;2.39 : 1;Color
tt0435761;Toy Story 3;G;2010;6180;8.3;823288;92;96;61;3;2;200000000;415004880;110307189;1066970811;1.78 : 1;Color
tt0451279;Wonder Woman;PG-13;2017;8460;7.4;645864;76;72;32;;;149000000;412845172;103251471;822854286;2.39 : 1;
tt0451279;Wonder Woman;PG-13;2017;8460;7.4;645864;76;72;32;;;149000000;412845172;103251471;822854286;2.39 : 1;
tt1300854;Iron Man 3;PG-13;2013;7800;7.1;835605;62;63;20;1;0;200000000;409013994;174144585;1214811252;2.39 : 1;Color
tt3498820;Captain America: Civil War;PG-13;2016;8820;7.8;767881;75;73;16;;;250000000;408084349;179139142;1153337496;2.39 : 1;Color
tt1392170;The Hunger Games;PG-13;2012;8520;7.2;905594;68;48;33;0;1;78000000;408010692;152535747;694394724;2.35 : 1;Color
tt1392170;The Hunger Games;PG-13;2012;8520;7.2;905594;68;48;33;0;1;78000000;408010692;152535747;694394724;2.39 : 1;Color
tt2283362;Jumanji: Welcome to the Jungle;PG-13;2017;7140;6.9;371448;58;15;5;;;90000000;404540171;36169328;962542945;2.39 : 1;Color
tt0145487;Spider-Man;PG-13;2002;7260;7.4;803679;73;63;16;2;0;139000000;407022860;114844116;825025036;1.85 : 1;Color
tt0107290;Jurassic Park;PG-13;1993;7620;8.2;970361;68;27;44;0;3;63000000;404214720;47026828;1099699003;;
tt1055369;Transformers: Revenge of the Fallen;PG-13;2009;8940;5.9;404891;35;31;15;1;0;200000000;402111870;108966307;836303693;2.39 : 1;Color
tt2294629;Frozen;PG;2013;6120;7.4;616518;75;60;82;0;2;150000000;400953009;243390;1281508100;2.39 : 1;Color
tt6320628;Spider-Man: Far from Home;PG-13;2019;7740;7.4;474553;69;26;11;;;160000000;390532085;92579212;1131927996;2.39 : 1;Color
tt6320628;Spider-Man: Far from Home;PG-13;2019;7740;7.4;474553;69;26;11;;;160000000;390532085;92579212;1131927996;2.39 : 1;Black and White
tt3896198;Guardians of the Galaxy Vol. 2;PG-13;2017;8160;7.6;663209;67;59;15;1;0;200000000;389813101;146510104;863756051;2.39 : 1;
tt1201607;Harry Potter and the Deathly Hallows: Part 2;PG-13;2011;7800;8.1;857275;85;94;46;3;0;125000000;381447587;169189427;1342359942;2.39 : 1;Color
tt1201607;Harry Potter and the Deathly Hallows: Part 2;PG-13;2011;7800;8.1;857275;85;94;46;3;0;125000000;381447587;169189427;1342359942;2.39 : 1;Color
tt0266543;Finding Nemo;G;2003;6000;8.2;1027697;90;63;48;3;1;94000000;380843261;70251710;940352645;1.85 : 1;Color
tt0121766;Star Wars: Episode III - Revenge of the Sith;PG-13;2005;8400;7.6;778197;68;63;26;1;0;113000000;380270577;108435841;868390560;2.39 : 1;Color
tt0167260;The Lord of the Rings: The Return of the King;PG-13;2003;12060;9;1796947;94;124;209;0;11;94000000;378251207;72629713;1146436214;2.39 : 1;Color
tt0167260;The Lord of the Rings: The Return of the King;PG-13;2003;12060;9;1796947;94;124;209;0;11;94000000;378251207;72629713;1146436214;2.39 : 1;Color
tt0316654;Spider-Man 2;PG-13;2004;7620;7.4;641226;83;60;25;2;1;200000000;373585825;88156227;788976453;2.39 : 1;Color
tt0335345;The Passion of the Christ;R;2004;7620;7.2;230909;47;24;29;3;0;30000000;370782930;83848082;612054506;2.39 : 1;Color
tt2709768;The Secret Life of Pets;PG;2016;5220;6.5;200384;61;15;4;;;75000000;368384330;104352905;875458631;1.85 : 1;Color
tt2709768;The Secret Life of Pets;PG;2016;5220;6.5;200384;61;15;4;;;75000000;368384330;104352905;875458631;1.85 : 1;Color
tt1690953;Despicable Me 2;PG;2013;5880;7.3;396365;62;66;12;2;0;76000000;368065385;83517315;970766005;1.85 : 1;Color
tt1690953;Despicable Me 2;PG;2013;5880;7.3;396365;62;66;12;2;0;76000000;368065385;83517315;970766005;1.85 : 1;Color
tt1690953;Despicable Me 2;PG;2013;5880;7.3;396365;62;66;12;2;0;76000000;368065385;83517315;970766005;1.85 : 1;Color
tt3040964;The Jungle Book;PG;2016;6360;7.4;275249;77;55;33;0;1;175000000;364001123;103261464;966554929;1.85 : 1;Color
